"SalesDate"|"StoreName"|"ProductName"|"SalesUnits"|"SalesRevenue"
20221203|Store4|Apple MacBook Air|1|1574.3500
20221209|Store4|Apple MacBook Air|1|1574.3500
20221210|Store4|Apple MacBook Air|1|1574.3500
20221216|Store4|Apple MacBook Air|2|3148.7000
20221217|Store4|Apple MacBook Air|1|1574.3500
20221218|Store4|Apple MacBook Air|2|3148.7000
20221219|Store4|Apple MacBook Air|1|1574.3500
20221222|Store4|Apple MacBook Air|1|1574.3500
20221224|Store4|Apple MacBook Air|2|3148.7000
20221218|Store7|Samsung Galaxy Tab S|1|584.0965
20221202|Store5|Samsung Galaxy Tab S|1|674.0691
20221217|Store3|Samsung Galaxy Tab S|1|674.0691
20221203|Store7|Samsung Galaxy Tab S|1|674.0955
20221205|Store3|Samsung Galaxy Tab S|1|809.1055
20221203|Store4|Samsung Galaxy Tab S|1|809.1055
20221204|Store4|Samsung Galaxy Tab S|1|809.1055
20221205|Store4|Samsung Galaxy Tab S|1|809.1055
20221208|Store4|Samsung Galaxy Tab S|1|809.1055
20221217|Store3|Samsung Galaxy Tab S|1|809.1055
20221204|Store1|Samsung Galaxy Tab S|1|809.1055
20221203|Store7|Samsung Galaxy Tab S|-1|-989.1035
20221210|Store2|Samsung Galaxy Tab S|1|989.0920
20221223|Store5|Samsung Galaxy Tab S|1|584.0965
20221205|Store4|Samsung Galaxy Tab S|1|584.0965
20221226|Store4|Samsung Galaxy Tab S|1|584.0965
20221212|Store6|Samsung Galaxy Tab S|1|584.0965
20221226|Store6|Samsung Galaxy Tab S|2|1168.1930
20221224|Store1|Samsung Galaxy Tab S|1|584.0965
20221226|Store4|Samsung Galaxy Tab S|1|584.0965
20221227|Store4|Samsung Galaxy Tab S|1|584.0965
20221208|Store6|Samsung Galaxy Tab S|1|584.0965
20221224|Store1|Samsung Galaxy Tab S|1|584.0965
20221226|Store1|Samsung Galaxy Tab S|1|584.0965
20221214|Store3|SAMSUNG Galaxy Tab S|1|1124.1020
20221206|Store6|SAMSUNG Galaxy Tab S|2|2248.2040
20221212|Store6|SAMSUNG Galaxy Tab S|1|1124.1020
20221221|Store6|SAMSUNG Galaxy Tab S|1|1124.1020
20221202|Store3|Apple MacBook Air|1|1574.3500
20221203|Store3|Apple MacBook Air|1|1574.3500
20221206|Store3|Apple MacBook Air|1|1574.3500
20221213|Store6|Apple MacBook Air|1|1574.3500
20221215|Store6|Apple MacBook Air|1|1574.3500
20221216|Store6|Apple MacBook Air|3|4723.0500
20221217|Store6|Apple MacBook Air|3|4723.0500
20221220|Store6|Apple MacBook Air|2|3148.7000
20221222|Store6|Apple MacBook Air|-1|-1574.3500
20221223|Store6|Apple MacBook Air|1|1574.3500
20221202|Store1|Apple MacBook Air|1|1574.3500
20221205|Store1|Apple MacBook Air|1|1574.3500
20221206|Store1|Apple MacBook Air|1|1574.3500
20221209|Store1|Apple MacBook Air|2|3148.7000
20221212|Store1|Apple MacBook Air|1|1574.3500
20221206|Store5|Apple MacBook Air|1|1574.3500
20221208|Store5|Apple MacBook Air|3|4723.0500
20221210|Store4|Apple MacBook Air|1|1574.3500
20221226|Store4|Apple MacBook Air|1|1574.3500
20221221|Store5|Apple Macbook Air|1|1561.8396
20221211|Store2|Apple MacBook Air|1|1574.3500
20221217|Store2|Apple MacBook Air|1|1574.3500
20221221|Store2|Apple MacBook Air|1|1574.3500
20221203|Store5|Apple MacBook Air|1|1574.3500
20221208|Store5|Apple MacBook Air|1|1574.3500
20221217|Store5|Apple MacBook Air|1|1574.3500
20221218|Store5|Apple MacBook Air|1|1574.3500
20221220|Store5|Apple MacBook Air|1|1574.3500
20221221|Store5|Apple MacBook Air|1|1574.3500
20221216|Store3|Apple MacBook Air|2|3148.7000
20221217|Store3|Apple MacBook Air|1|1574.3500
20221218|Store3|Apple MacBook Air|1|1574.3500
20221220|Store3|Apple MacBook Air|1|1574.3500
20221223|Store3|Apple MacBook Air|1|1574.3500
20221216|Store6|Apple MacBook Air|2|3148.7000
20221221|Store6|Apple MacBook Air|1|1574.3500
20221222|Store6|Apple MacBook Air|1|1574.3500
20221224|Store6|Apple MacBook Air|1|1574.3500
20221226|Store6|Apple MacBook Air|3|4723.0500
20221213|Store7|Apple MacBook Air|2|3148.7000
20221215|Store7|Apple MacBook Air|2|3148.7000
20221202|Store2|Apple MacBook Air|2|3148.7000
20221206|Store2|Apple MacBook Air|1|1574.3500
20221207|Store2|Apple MacBook Air|1|1574.3500
20221208|Store2|Apple MacBook Air|1|1574.3500
20221209|Store2|Apple MacBook Air|3|4723.0500
20221210|Store2|Apple MacBook Air|1|1574.3500
20221211|Store2|Apple MacBook Air|3|4723.0500
20221213|Store2|Apple MacBook Air|2|3148.7000
20221215|Store2|Apple MacBook Air|3|4723.0500
20221216|Store2|Apple MacBook Air|1|1574.3500
20221217|Store2|Apple MacBook Air|3|4723.0500
20221218|Store2|Apple MacBook Air|1|1574.3500
20221219|Store2|Apple MacBook Air|1|1574.3500
20221220|Store2|Apple MacBook Air|2|3148.7000
20221221|Store2|Apple MacBook Air|1|1574.3500
20221222|Store2|Apple MacBook Air|5|7871.7500
20221223|Store2|Apple MacBook Air|2|3148.7000
20221224|Store2|Apple MacBook Air|2|3148.7000
20221226|Store2|Apple MacBook Air|1|1574.3500
20221214|Store5|Apple MacBook Air|1|1574.3500
20221215|Store5|Apple MacBook Air|1|1574.3500
20221216|Store5|Apple MacBook Air|1|1574.3500
20221218|Store5|Apple MacBook Air|1|1574.3500
20221219|Store5|Apple MacBook Air|2|3148.7000
20221220|Store5|Apple MacBook Air|2|3148.7000
20221221|Store5|Apple MacBook Air|1|1574.3500
20221222|Store5|Apple MacBook Air|1|1574.3500
20221223|Store5|Apple MacBook Air|1|1574.3500
20221226|Store5|Apple MacBook Air|3|4723.0500
20221218|Store1|SAMSUNG Galaxy Tab S|1|1124.1020
20221201|Store7|Samsung Galaxy Tab S|1|1259.1005
20221207|Store7|Samsung Galaxy Tab S|1|1259.1005
20221227|Store4|Samsung Galaxy Tab S|1|1259.1005
20221217|Store6|Samsung Galaxy Tab S|1|1259.1005
20221221|Store6|Samsung Galaxy Tab S|-1|-1259.1005
20221207|Store2|Samsung Galaxy Tab S|1|1124.1020
20221215|Store6|Samsung Galaxy Tab S|1|1124.1020
